;SPXT Index;S5INFT Index;S5TELS Index;S5CONS Index;S5COND Index;S5ENRS Index;S5FINL Index;S5HLTH Index;S5INDU Index;S5MATR Index;S5RLST Index;S5UTIL Index;GB03 Govt;S5SFTW Index;S5TECH Index;S5MEDA Index;S5SSEQX Index;S5DIVF Index;S5PHRM Index;S5RETL Index;S5CPGS Index;S5HCES Index;S5ENRSX Index;S5FDBT Index;S5BANKX Index;S5MATRX Index;S5UTILX Index;S5REAL Index;S5INSU Index;S5HOTR Index;S5AUCO Index;S5FDSR Index;S5HOUS Index;S5TRAN Index;S5COMS Index;S5CODU Index;S5TELSX Index
;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Dates;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;PX_Last;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS;TOT_RETURN_INDEX_GROSS_DVDS
#NAME?;369.55;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
13.10.89;355.49;67.02;87.83;56.32;72.1454;80.06;78.72;65.42;72.02;74.28;#N/A N/A;93.44;7.34;50.27;70.45;78.02;27.01;66.3897;63.08;64.88;65.73;74.88;80.06;57.34;85.51;74.28;93.44;#N/A N/A;78.86;66.8;80.92;70.15;48.67;85.71;94.29;74.18;87.83
16.10.89;365.36;68.79;91.65;58.43;74.037;82.75;80.39;67.72;73.29;75.62;#N/A N/A;94.92;7.716;50.85;72.41;79.8;27.74;69.3633;65.52;66.91;67.61;75.78;82.75;59.86;87.32;75.62;94.92;#N/A N/A;79.59;69.78;83.21;71.92;49.61;82.45;96.55;74.96;91.65
17.10.89;363.58;68.46;91.2;58.61;73.3227;82.72;79.73;67.81;72.59;74.76;#N/A N/A;94.94;7.768;51.26;71.97;79.01;27.73;68.9708;65.61;66.11;67.16;75.85;82.72;60.08;86.37;74.76;94.94;#N/A N/A;79.09;69.18;82.35;71.19;49.97;80.45;95.63;74.69;91.2
18.10.89;364.22;68.7;91.39;58.9;73.2975;82.87;80.09;68.01;72.53;74.95;#N/A N/A;94.75;7.735;51.91;72.15;79.15;27.93;68.9153;65.71;65.84;67.13;76.81;82.87;60.44;85.77;74.95;94.75;#N/A N/A;80.82;69.54;82.22;70.7;50.33;80.25;95.57;74.86;91.39
19.10.89;369.95;70.25;92.81;59.95;74.6295;83.75;81.5;69.41;73.43;75.97;#N/A N/A;95.61;7.786;52.97;73.8;81.11;28.77;70.6052;67.07;67.23;67.9;78.29;83.75;61.64;86.6;75.97;95.61;#N/A N/A;82.73;70.33;83.01;71.94;50.85;81.4;97.02;75.95;92.81
20.10.89;369.99;70.01;93.22;59.92;74.5971;83.93;81.85;69.22;73.35;75.56;#N/A N/A;95.91;7.781;52.67;73.56;80.9;28.54;71.3928;66.85;67.26;67.9;78.33;83.93;61.51;86.3;75.56;95.91;#N/A N/A;83.57;70.49;82.97;72.04;51.05;80.95;96.88;75.98;93.22
23.10.89;367.55;69.31;92.25;59.85;74.2851;82.96;81.07;69.09;72.86;74.74;#N/A N/A;95.77;7.832;52.02;72.85;81.08;27.66;70.4255;66.76;66.46;67.36;77.95;82.96;61.44;85.58;74.74;95.77;#N/A N/A;82.86;71.37;82.49;71.66;51.1;80.71;96.42;75.55;92.25
24.10.89;366.35;69.27;91.51;60.2;74.2088;82.42;80.37;69.08;72.57;74.09;#N/A N/A;95.48;7.768;52.46;72.74;80.74;27.4;69.7867;66.56;66.41;67.22;79.42;82.42;61.84;84.44;74.09;95.48;#N/A N/A;82.61;72.68;82.63;71.42;51.53;79.56;96.08;74.91;91.51
25.10.89;365.12;68.64;91.83;59.67;73.4919;82.53;80.59;69.04;72.03;73.92;#N/A N/A;95.82;7.819;51.57;72.13;80.06;27.06;69.5434;66.6;65.92;66.68;78.7;82.53;61.28;83.87;73.92;95.82;#N/A N/A;84.03;71.46;80.84;71.72;50.8;79.27;95.32;75.08;91.83
26.10.89;360.32;67.31;90.82;58.57;72.3614;81.2;79.83;68.31;71.09;73.14;#N/A N/A;95.43;7.849;50.29;70.77;78.86;26.53;68.9366;65.93;64.96;65.63;77.65;81.2;60.12;82.66;73.14;95.43;#N/A N/A;83.72;70.43;79.58;70.82;49.8;79.09;94.29;73.74;90.82
27.10.89;357.26;66.79;89.9;58;71.6562;81.44;78.33;67.29;70.26;72.94;#N/A N/A;95.6;7.939;48.48;70.43;77.95;26.35;67.4995;64.92;64.41;64.91;76.67;81.44;59.52;80.9;72.94;95.6;#N/A N/A;82.47;69.94;79.01;70.22;49.35;78.04;93.04;72.72;89.9
